id,text,sentiment
986,Absolutely thrilled with this!,Positive
987,"Well done, great job!",Positive
988,Amazing experience!,Positive
989,Terrible experience.,Negative
990,Never buying this again.,Negative
991,"Well done, great job!",Positive
992,It's just fine.,Neutral
993,I hate this.,Negative
994,Never buying this again.,Negative
995,It's just fine.,Neutral
996,Worst thing ever.,Negative
997,It's okay.,Neutral
998,It's just fine.,Neutral
999,Terrible experience.,Negative
1000,Absolutely thrilled with this!,Positive
1001,"Well done, great job!",Positive
1002,Worst thing ever.,Negative
1003,"Well done, great job!",Positive
1004,Amazing experience!,Positive
1005,Terrible experience.,Negative
1006,Average at best.,Neutral
1007,I hate this.,Negative
1008,Average at best.,Neutral
1009,I hate this.,Negative
1010,It's just fine.,Neutral
1011,Nothing special.,Neutral
1012,Worst thing ever.,Negative
1013,I hate this.,Negative
1014,It's just fine.,Neutral
1015,I love this!,Positive
1016,Nothing special.,Neutral
1017,"Well done, great job!",Positive
1018,Absolutely thrilled with this!,Positive
1019,Terrible experience.,Negative
1020,Amazing experience!,Positive
1021,It's okay.,Neutral
1022,I love this!,Positive
1023,Really disappointed.,Negative
1024,I love this!,Positive
1025,Absolutely thrilled with this!,Positive
1026,It's okay.,Neutral
1027,This is fantastic!,Positive
1028,Really disappointed.,Negative
1029,Nothing special.,Neutral
1030,It's okay.,Neutral
1031,Really disappointed.,Negative
1032,Never buying this again.,Negative
1033,Worst thing ever.,Negative
1034,I love this!,Positive
1035,Nothing special.,Neutral
1036,It's okay.,Neutral
1037,"Not bad, not great.",Neutral
1038,Absolutely thrilled with this!,Positive
1039,It's okay.,Neutral
1040,This is fantastic!,Positive
1041,Never buying this again.,Negative
1042,"Well done, great job!",Positive
1043,"Not bad, not great.",Neutral
1044,This is fantastic!,Positive
1045,Never buying this again.,Negative
1046,I hate this.,Negative
1047,It's just fine.,Neutral
1048,It's just fine.,Neutral
1049,Amazing experience!,Positive
1050,Absolutely thrilled with this!,Positive
1051,This is fantastic!,Positive
1052,I love this!,Positive
1053,"Well done, great job!",Positive
1054,Amazing experience!,Positive
1055,Terrible experience.,Negative
1056,Average at best.,Neutral
1057,Nothing special.,Neutral
1058,Nothing special.,Neutral
1059,I hate this.,Negative
1060,I love this!,Positive
1061,"Well done, great job!",Positive
1062,Really disappointed.,Negative
1063,"Well done, great job!",Positive
1064,"Well done, great job!",Positive
1065,"Not bad, not great.",Neutral
1066,"Not bad, not great.",Neutral
1067,"Not bad, not great.",Neutral
1068,Never buying this again.,Negative
1069,It's just fine.,Neutral
1070,"Not bad, not great.",Neutral
1071,This is fantastic!,Positive
1072,Nothing special.,Neutral
1073,This is fantastic!,Positive
1074,Really disappointed.,Negative
1075,Terrible experience.,Negative
1076,It's okay.,Neutral
1077,Average at best.,Neutral
1078,Amazing experience!,Positive
1079,It's just fine.,Neutral
1080,Average at best.,Neutral
1081,It's just fine.,Neutral
1082,It's okay.,Neutral
1083,Worst thing ever.,Negative
1084,Absolutely thrilled with this!,Positive
1085,Amazing experience!,Positive
1086,I hate this.,Negative
1087,"Not bad, not great.",Neutral
1088,"Not bad, not great.",Neutral
1089,I love this!,Positive
1090,I love this!,Positive
1091,It's okay.,Neutral
1092,Amazing experience!,Positive
1093,Really disappointed.,Negative
1094,"Not bad, not great.",Neutral
1095,I hate this.,Negative
1096,I hate this.,Negative
1097,Amazing experience!,Positive
1098,I hate this.,Negative
1099,I love this!,Positive
1100,Average at best.,Neutral
1101,Terrible experience.,Negative
1102,Average at best.,Neutral
1103,"Not bad, not great.",Neutral
1104,It's just fine.,Neutral
1105,Average at best.,Neutral
1106,"Well done, great job!",Positive
1107,Absolutely thrilled with this!,Positive
1108,I hate this.,Negative
1109,It's okay.,Neutral
1110,Really disappointed.,Negative
1111,Absolutely thrilled with this!,Positive
1112,"Not bad, not great.",Neutral
1113,It's okay.,Neutral
1114,Nothing special.,Neutral
1115,"Well done, great job!",Positive
1116,Terrible experience.,Negative
1117,"Well done, great job!",Positive
1118,Average at best.,Neutral
1119,Really disappointed.,Negative
1120,Never buying this again.,Negative
1121,Worst thing ever.,Negative
1122,"Well done, great job!",Positive
1123,"Well done, great job!",Positive
1124,I hate this.,Negative
1125,I love this!,Positive
1126,Never buying this again.,Negative
1127,I love this!,Positive
1128,"Well done, great job!",Positive
1129,I hate this.,Negative
1130,Nothing special.,Neutral
1131,Nothing special.,Neutral
1132,Worst thing ever.,Negative
1133,Absolutely thrilled with this!,Positive
1134,I love this!,Positive
1135,Nothing special.,Neutral
1136,I love this!,Positive
1137,Nothing special.,Neutral
1138,This is fantastic!,Positive
1139,I love this!,Positive
1140,I love this!,Positive
1141,Absolutely thrilled with this!,Positive
1142,Average at best.,Neutral
1143,Average at best.,Neutral
1144,It's just fine.,Neutral
1145,This is fantastic!,Positive
1146,Worst thing ever.,Negative
1147,Absolutely thrilled with this!,Positive
1148,Really disappointed.,Negative
1149,It's just fine.,Neutral
1150,Worst thing ever.,Negative
1151,Worst thing ever.,Negative
1152,This is fantastic!,Positive
1153,This is fantastic!,Positive
1154,I hate this.,Negative
1155,Worst thing ever.,Negative
1156,Absolutely thrilled with this!,Positive
1157,It's just fine.,Neutral
1158,I love this!,Positive
1159,Never buying this again.,Negative
1160,"Not bad, not great.",Neutral
1161,It's just fine.,Neutral
1162,Absolutely thrilled with this!,Positive
1163,I hate this.,Negative
1164,Terrible experience.,Negative
1165,It's just fine.,Neutral
1166,It's okay.,Neutral
1167,It's okay.,Neutral
1168,"Not bad, not great.",Neutral
1169,Worst thing ever.,Negative
1170,It's okay.,Neutral
1171,Worst thing ever.,Negative
1172,Amazing experience!,Positive
1173,It's just fine.,Neutral
1174,This is fantastic!,Positive
1175,Average at best.,Neutral
1176,"Not bad, not great.",Neutral
1177,I hate this.,Negative
1178,Terrible experience.,Negative
1179,Amazing experience!,Positive
1180,"Not bad, not great.",Neutral
1181,I love this!,Positive
1182,I hate this.,Negative
1183,Nothing special.,Neutral
1184,This is fantastic!,Positive
1185,Worst thing ever.,Negative
1186,This is fantastic!,Positive
1187,Never buying this again.,Negative
1188,Really disappointed.,Negative
1189,Absolutely thrilled with this!,Positive
1190,Worst thing ever.,Negative
1191,Absolutely thrilled with this!,Positive
1192,It's okay.,Neutral
1193,Nothing special.,Neutral
1194,Never buying this again.,Negative
1195,"Well done, great job!",Positive
1196,I love this!,Positive
1197,This is fantastic!,Positive
1198,Nothing special.,Neutral
1199,It's just fine.,Neutral
1200,Worst thing ever.,Negative
1201,It's okay.,Neutral
1202,I love this!,Positive
1203,I hate this.,Negative
1204,Absolutely thrilled with this!,Positive
1205,This is fantastic!,Positive
1206,Average at best.,Neutral
1207,Never buying this again.,Negative
1208,I hate this.,Negative
1209,"Well done, great job!",Positive
1210,Never buying this again.,Negative
1211,This is fantastic!,Positive
1212,Average at best.,Neutral
1213,Really disappointed.,Negative
1214,Amazing experience!,Positive
1215,Worst thing ever.,Negative
1216,Amazing experience!,Positive
1217,Absolutely thrilled with this!,Positive
1218,This is fantastic!,Positive
1219,Worst thing ever.,Negative
1220,Average at best.,Neutral
1221,Nothing special.,Neutral
1222,It's okay.,Neutral
1223,Nothing special.,Neutral
1224,"Well done, great job!",Positive
1225,Nothing special.,Neutral
1226,Amazing experience!,Positive
1227,I hate this.,Negative
1228,Nothing special.,Neutral
1229,This is fantastic!,Positive
1230,Amazing experience!,Positive
1231,Average at best.,Neutral
1232,Amazing experience!,Positive
1233,Never buying this again.,Negative
1234,"Well done, great job!",Positive
1235,"Well done, great job!",Positive
1236,Never buying this again.,Negative
1237,Terrible experience.,Negative
1238,"Not bad, not great.",Neutral
1239,Average at best.,Neutral
1240,It's okay.,Neutral
1241,Never buying this again.,Negative
1242,I hate this.,Negative
1243,Terrible experience.,Negative
1244,Terrible experience.,Negative
1245,Average at best.,Neutral
1246,I love this!,Positive
1247,Worst thing ever.,Negative
1248,Nothing special.,Neutral
1249,Average at best.,Neutral
1250,It's just fine.,Neutral
1251,Really disappointed.,Negative
1252,This is fantastic!,Positive
1253,Average at best.,Neutral
1254,"Not bad, not great.",Neutral
1255,Really disappointed.,Negative
1256,This is fantastic!,Positive
1257,Worst thing ever.,Negative
1258,Really disappointed.,Negative
1259,I hate this.,Negative
1260,Amazing experience!,Positive
1261,Terrible experience.,Negative
1262,Nothing special.,Neutral
1263,Never buying this again.,Negative
1264,I love this!,Positive
1265,It's okay.,Neutral
1266,Amazing experience!,Positive
1267,Absolutely thrilled with this!,Positive
1268,It's just fine.,Neutral
1269,Worst thing ever.,Negative
1270,Average at best.,Neutral
1271,This is fantastic!,Positive
1272,Absolutely thrilled with this!,Positive
1273,Terrible experience.,Negative
1274,It's just fine.,Neutral
1275,"Well done, great job!",Positive
1276,"Well done, great job!",Positive
1277,Nothing special.,Neutral
1278,Average at best.,Neutral
1279,Nothing special.,Neutral
1280,Never buying this again.,Negative
1281,Never buying this again.,Negative
1282,Really disappointed.,Negative
1283,I love this!,Positive
1284,Absolutely thrilled with this!,Positive
1285,This is fantastic!,Positive
1286,This is fantastic!,Positive
1287,This is fantastic!,Positive
1288,Terrible experience.,Negative
1289,Amazing experience!,Positive
1290,Nothing special.,Neutral
1291,It's okay.,Neutral
1292,Average at best.,Neutral
1293,Terrible experience.,Negative
1294,Absolutely thrilled with this!,Positive
1295,Absolutely thrilled with this!,Positive
1296,"Not bad, not great.",Neutral
1297,Really disappointed.,Negative
1298,"Well done, great job!",Positive
1299,Never buying this again.,Negative
1300,Nothing special.,Neutral
1301,I hate this.,Negative
1302,"Well done, great job!",Positive
1303,This is fantastic!,Positive
1304,"Well done, great job!",Positive
1305,It's okay.,Neutral
1306,Really disappointed.,Negative
1307,It's just fine.,Neutral
1308,I hate this.,Negative
1309,"Well done, great job!",Positive
1310,I love this!,Positive
1311,Absolutely thrilled with this!,Positive
1312,Average at best.,Neutral
1313,I hate this.,Negative
1314,"Not bad, not great.",Neutral
1315,It's just fine.,Neutral
1316,Worst thing ever.,Negative
1317,Really disappointed.,Negative
1318,It's just fine.,Neutral
1319,Amazing experience!,Positive
1320,Average at best.,Neutral
1321,Worst thing ever.,Negative
1322,Average at best.,Neutral
1323,Terrible experience.,Negative
1324,Really disappointed.,Negative
1325,This is fantastic!,Positive
1326,I love this!,Positive
1327,I hate this.,Negative
1328,"Not bad, not great.",Neutral
1329,Nothing special.,Neutral
1330,I love this!,Positive
1331,I love this!,Positive
1332,"Well done, great job!",Positive
1333,Terrible experience.,Negative
1334,I hate this.,Negative
1335,"Not bad, not great.",Neutral
1336,Worst thing ever.,Negative
1337,I love this!,Positive
1338,It's just fine.,Neutral
1339,It's just fine.,Neutral
1340,I hate this.,Negative
1341,Absolutely thrilled with this!,Positive
1342,Average at best.,Neutral
1343,Absolutely thrilled with this!,Positive
1344,Nothing special.,Neutral
1345,Really disappointed.,Negative
1346,Never buying this again.,Negative
1347,Absolutely thrilled with this!,Positive
1348,I hate this.,Negative
1349,I love this!,Positive
1350,"Not bad, not great.",Neutral
1351,Worst thing ever.,Negative
1352,Absolutely thrilled with this!,Positive
1353,It's just fine.,Neutral
1354,It's okay.,Neutral
1355,I love this!,Positive
1356,"Not bad, not great.",Neutral
1357,Terrible experience.,Negative
1358,Terrible experience.,Negative
1359,"Not bad, not great.",Neutral
1360,Never buying this again.,Negative
1361,Never buying this again.,Negative
1362,Terrible experience.,Negative
1363,Really disappointed.,Negative
1364,Never buying this again.,Negative
1365,Never buying this again.,Negative
1366,Really disappointed.,Negative
1367,Nothing special.,Neutral
1368,Amazing experience!,Positive
1369,Absolutely thrilled with this!,Positive
1370,I hate this.,Negative
1371,Average at best.,Neutral
1372,Really disappointed.,Negative
1373,It's just fine.,Neutral
1374,Average at best.,Neutral
1375,It's okay.,Neutral
1376,It's just fine.,Neutral
1377,Amazing experience!,Positive
1378,Nothing special.,Neutral
1379,It's okay.,Neutral
1380,I hate this.,Negative
1381,Nothing special.,Neutral
1382,I hate this.,Negative
1383,I hate this.,Negative
1384,I hate this.,Negative
1385,Never buying this again.,Negative
1386,"Not bad, not great.",Neutral
1387,Average at best.,Neutral
1388,I love this!,Positive
1389,Amazing experience!,Positive
1390,Worst thing ever.,Negative
1391,It's just fine.,Neutral
1392,"Not bad, not great.",Neutral
1393,Nothing special.,Neutral
1394,I hate this.,Negative
1395,It's okay.,Neutral
1396,Average at best.,Neutral
1397,I love this!,Positive
1398,"Not bad, not great.",Neutral
1399,Nothing special.,Neutral
1400,Really disappointed.,Negative
1401,I love this!,Positive
1402,Amazing experience!,Positive
1403,Nothing special.,Neutral
1404,"Not bad, not great.",Neutral
1405,I hate this.,Negative
1406,Never buying this again.,Negative
1407,Nothing special.,Neutral
1408,Average at best.,Neutral
1409,It's just fine.,Neutral
1410,Worst thing ever.,Negative
1411,This is fantastic!,Positive
1412,"Not bad, not great.",Neutral
1413,This is fantastic!,Positive
1414,It's okay.,Neutral
1415,It's okay.,Neutral
1416,Nothing special.,Neutral
1417,Absolutely thrilled with this!,Positive
1418,Worst thing ever.,Negative
1419,Amazing experience!,Positive
1420,Average at best.,Neutral
1421,It's okay.,Neutral
1422,Amazing experience!,Positive
1423,This is fantastic!,Positive
1424,Absolutely thrilled with this!,Positive
1425,Nothing special.,Neutral
1426,I hate this.,Negative
1427,Average at best.,Neutral
1428,Worst thing ever.,Negative
1429,"Well done, great job!",Positive
1430,It's okay.,Neutral
1431,"Well done, great job!",Positive
1432,It's okay.,Neutral
1433,I love this!,Positive
1434,Really disappointed.,Negative
1435,It's okay.,Neutral
1436,Never buying this again.,Negative
1437,Amazing experience!,Positive
1438,Amazing experience!,Positive
1439,This is fantastic!,Positive
1440,Never buying this again.,Negative
1441,Amazing experience!,Positive
1442,Average at best.,Neutral
1443,Nothing special.,Neutral
1444,Nothing special.,Neutral
1445,Average at best.,Neutral
1446,I love this!,Positive
1447,It's okay.,Neutral
1448,It's just fine.,Neutral
1449,Amazing experience!,Positive
1450,It's okay.,Neutral
1451,Average at best.,Neutral
1452,This is fantastic!,Positive
1453,It's just fine.,Neutral
1454,Absolutely thrilled with this!,Positive
1455,"Not bad, not great.",Neutral
1456,"Not bad, not great.",Neutral
1457,"Well done, great job!",Positive
1458,I hate this.,Negative
1459,I hate this.,Negative
1460,Terrible experience.,Negative
1461,"Not bad, not great.",Neutral
1462,It's okay.,Neutral
1463,I love this!,Positive
1464,I love this!,Positive
1465,"Not bad, not great.",Neutral
1466,Never buying this again.,Negative
1467,Terrible experience.,Negative
1468,Amazing experience!,Positive
1469,Absolutely thrilled with this!,Positive
1470,Amazing experience!,Positive
1471,"Well done, great job!",Positive
1472,Absolutely thrilled with this!,Positive
1473,Never buying this again.,Negative
1474,"Well done, great job!",Positive
1475,Worst thing ever.,Negative
1476,It's okay.,Neutral
1477,Average at best.,Neutral
1478,Nothing special.,Neutral
1479,"Not bad, not great.",Neutral
1480,It's just fine.,Neutral
1481,It's okay.,Neutral
1482,Nothing special.,Neutral
1483,It's just fine.,Neutral
1484,Amazing experience!,Positive
1485,Amazing experience!,Positive
1486,Absolutely thrilled with this!,Positive
1487,I love this!,Positive
1488,Worst thing ever.,Negative
1489,Terrible experience.,Negative
1490,Amazing experience!,Positive
1491,It's just fine.,Neutral
1492,This is fantastic!,Positive
1493,Absolutely thrilled with this!,Positive
1494,Nothing special.,Neutral
1495,Terrible experience.,Negative
1496,Really disappointed.,Negative
1497,It's just fine.,Neutral
1498,Absolutely thrilled with this!,Positive
1499,I hate this.,Negative
1500,Nothing special.,Neutral
1501,Average at best.,Neutral
1502,Worst thing ever.,Negative
1503,Nothing special.,Neutral
1504,Amazing experience!,Positive
1505,Absolutely thrilled with this!,Positive
1506,I hate this.,Negative
1507,Terrible experience.,Negative
1508,Absolutely thrilled with this!,Positive
1509,"Well done, great job!",Positive
1510,I hate this.,Negative
1511,Amazing experience!,Positive
1512,Nothing special.,Neutral
1513,Terrible experience.,Negative
1514,I hate this.,Negative
1515,Average at best.,Neutral
1516,Absolutely thrilled with this!,Positive
1517,Average at best.,Neutral
1518,"Not bad, not great.",Neutral
1519,Really disappointed.,Negative
1520,Worst thing ever.,Negative
1521,It's just fine.,Neutral
1522,"Not bad, not great.",Neutral
1523,Average at best.,Neutral
1524,This is fantastic!,Positive
1525,Worst thing ever.,Negative
1526,It's just fine.,Neutral
1527,This is fantastic!,Positive
1528,Absolutely thrilled with this!,Positive
1529,Worst thing ever.,Negative
1530,"Well done, great job!",Positive
1531,Nothing special.,Neutral
1532,Average at best.,Neutral
1533,Nothing special.,Neutral
1534,This is fantastic!,Positive
1535,I hate this.,Negative
1536,Terrible experience.,Negative
1537,Really disappointed.,Negative
1538,"Not bad, not great.",Neutral
1539,Terrible experience.,Negative
1540,It's okay.,Neutral
1541,Nothing special.,Neutral
1542,Really disappointed.,Negative
1543,"Not bad, not great.",Neutral
1544,Really disappointed.,Negative
1545,"Not bad, not great.",Neutral
1546,It's okay.,Neutral
1547,Terrible experience.,Negative
1548,Nothing special.,Neutral
1549,Amazing experience!,Positive
1550,Really disappointed.,Negative
1551,"Not bad, not great.",Neutral
1552,Worst thing ever.,Negative
1553,Amazing experience!,Positive
1554,"Not bad, not great.",Neutral
1555,It's just fine.,Neutral
1556,I hate this.,Negative
1557,Worst thing ever.,Negative
1558,It's okay.,Neutral
1559,Nothing special.,Neutral
1560,It's okay.,Neutral
1561,It's okay.,Neutral
1562,It's just fine.,Neutral
1563,Nothing special.,Neutral
1564,"Not bad, not great.",Neutral
1565,I hate this.,Negative
1566,I love this!,Positive
1567,Terrible experience.,Negative
1568,This is fantastic!,Positive
1569,It's just fine.,Neutral
1570,"Well done, great job!",Positive
1571,Really disappointed.,Negative
1572,It's just fine.,Neutral
1573,Never buying this again.,Negative
1574,Never buying this again.,Negative
1575,Absolutely thrilled with this!,Positive
1576,Terrible experience.,Negative
1577,"Not bad, not great.",Neutral
1578,Absolutely thrilled with this!,Positive
1579,Never buying this again.,Negative
1580,Never buying this again.,Negative
1581,It's okay.,Neutral
1582,Amazing experience!,Positive
1583,This is fantastic!,Positive
1584,Worst thing ever.,Negative
1585,Amazing experience!,Positive
1586,Absolutely thrilled with this!,Positive
1587,I hate this.,Negative
1588,It's okay.,Neutral
1589,Worst thing ever.,Negative
1590,Worst thing ever.,Negative
1591,Really disappointed.,Negative
1592,Amazing experience!,Positive
1593,Nothing special.,Neutral
1594,"Not bad, not great.",Neutral
1595,Really disappointed.,Negative
1596,Nothing special.,Neutral
1597,Amazing experience!,Positive
1598,Really disappointed.,Negative
1599,Never buying this again.,Negative
1600,Absolutely thrilled with this!,Positive
1601,Average at best.,Neutral
1602,"Not bad, not great.",Neutral
1603,Absolutely thrilled with this!,Positive
1604,Average at best.,Neutral
1605,Nothing special.,Neutral
1606,Absolutely thrilled with this!,Positive
1607,Never buying this again.,Negative
1608,Worst thing ever.,Negative
1609,This is fantastic!,Positive
1610,Absolutely thrilled with this!,Positive
1611,Terrible experience.,Negative
1612,Never buying this again.,Negative
1613,Average at best.,Neutral
1614,I love this!,Positive
1615,Absolutely thrilled with this!,Positive
1616,"Not bad, not great.",Neutral
1617,Really disappointed.,Negative
1618,This is fantastic!,Positive
1619,I love this!,Positive
1620,Nothing special.,Neutral
1621,I hate this.,Negative
1622,Absolutely thrilled with this!,Positive
1623,This is fantastic!,Positive
1624,I love this!,Positive
1625,It's just fine.,Neutral
1626,I hate this.,Negative
1627,Worst thing ever.,Negative
1628,I love this!,Positive
1629,I love this!,Positive
1630,I hate this.,Negative
1631,"Not bad, not great.",Neutral
1632,"Well done, great job!",Positive
1633,Worst thing ever.,Negative
1634,Worst thing ever.,Negative
1635,I love this!,Positive
1636,Amazing experience!,Positive
1637,I love this!,Positive
1638,This is fantastic!,Positive
1639,"Well done, great job!",Positive
1640,It's okay.,Neutral
1641,I hate this.,Negative
1642,Absolutely thrilled with this!,Positive
1643,Amazing experience!,Positive
1644,Absolutely thrilled with this!,Positive
1645,"Well done, great job!",Positive
1646,This is fantastic!,Positive
1647,Terrible experience.,Negative
1648,Terrible experience.,Negative
1649,Average at best.,Neutral
1650,Really disappointed.,Negative
1651,Worst thing ever.,Negative
1652,I love this!,Positive
1653,Absolutely thrilled with this!,Positive
1654,Terrible experience.,Negative
1655,Never buying this again.,Negative
1656,Nothing special.,Neutral
1657,I love this!,Positive
1658,Really disappointed.,Negative
1659,Amazing experience!,Positive
1660,Absolutely thrilled with this!,Positive
1661,Terrible experience.,Negative
1662,Really disappointed.,Negative
1663,Worst thing ever.,Negative
1664,Amazing experience!,Positive
1665,Worst thing ever.,Negative
1666,It's just fine.,Neutral
1667,I hate this.,Negative
1668,Terrible experience.,Negative
1669,Really disappointed.,Negative
1670,Amazing experience!,Positive
1671,"Not bad, not great.",Neutral
1672,It's just fine.,Neutral
1673,Nothing special.,Neutral
1674,I love this!,Positive
1675,Never buying this again.,Negative
1676,Absolutely thrilled with this!,Positive
1677,It's okay.,Neutral
1678,I hate this.,Negative
1679,Absolutely thrilled with this!,Positive
1680,Never buying this again.,Negative
1681,It's just fine.,Neutral
1682,I hate this.,Negative
1683,It's okay.,Neutral
1684,Absolutely thrilled with this!,Positive
1685,Amazing experience!,Positive
1686,I love this!,Positive
1687,I love this!,Positive
1688,Average at best.,Neutral
1689,This is fantastic!,Positive
1690,Never buying this again.,Negative
1691,Absolutely thrilled with this!,Positive
1692,It's just fine.,Neutral
1693,It's okay.,Neutral
1694,Really disappointed.,Negative
1695,"Well done, great job!",Positive
1696,Nothing special.,Neutral
1697,Never buying this again.,Negative
1698,Terrible experience.,Negative
1699,Terrible experience.,Negative
1700,Nothing special.,Neutral
1701,Amazing experience!,Positive
1702,Worst thing ever.,Negative
1703,This is fantastic!,Positive
1704,It's just fine.,Neutral
1705,Worst thing ever.,Negative
1706,I hate this.,Negative
1707,It's okay.,Neutral
1708,"Not bad, not great.",Neutral
1709,Terrible experience.,Negative
1710,It's okay.,Neutral
1711,"Well done, great job!",Positive
1712,It's just fine.,Neutral
1713,Nothing special.,Neutral
1714,It's just fine.,Neutral
1715,Terrible experience.,Negative
1716,Amazing experience!,Positive
1717,"Well done, great job!",Positive
1718,I love this!,Positive
1719,I love this!,Positive
1720,Terrible experience.,Negative
1721,It's okay.,Neutral
1722,This is fantastic!,Positive
1723,Worst thing ever.,Negative
1724,It's okay.,Neutral
1725,Never buying this again.,Negative
1726,I hate this.,Negative
1727,It's okay.,Neutral
1728,Nothing special.,Neutral
1729,"Not bad, not great.",Neutral
1730,It's just fine.,Neutral
1731,"Not bad, not great.",Neutral
1732,Average at best.,Neutral
1733,It's just fine.,Neutral
1734,Amazing experience!,Positive
1735,Amazing experience!,Positive
1736,This is fantastic!,Positive
1737,This is fantastic!,Positive
1738,Amazing experience!,Positive
1739,I hate this.,Negative
1740,This is fantastic!,Positive
1741,Amazing experience!,Positive
1742,Average at best.,Neutral
1743,This is fantastic!,Positive
1744,This is fantastic!,Positive
1745,I hate this.,Negative
1746,This is fantastic!,Positive
1747,Terrible experience.,Negative
1748,Really disappointed.,Negative
1749,It's just fine.,Neutral
1750,Never buying this again.,Negative
1751,I hate this.,Negative
1752,Absolutely thrilled with this!,Positive
1753,Absolutely thrilled with this!,Positive
1754,It's just fine.,Neutral
1755,It's okay.,Neutral
1756,Really disappointed.,Negative
1757,It's okay.,Neutral
1758,Worst thing ever.,Negative
1759,"Well done, great job!",Positive
1760,Terrible experience.,Negative
1761,"Not bad, not great.",Neutral
1762,Really disappointed.,Negative
1763,Absolutely thrilled with this!,Positive
1764,Terrible experience.,Negative
1765,"Well done, great job!",Positive
1766,Terrible experience.,Negative
1767,Worst thing ever.,Negative
1768,Amazing experience!,Positive
1769,Really disappointed.,Negative
1770,"Not bad, not great.",Neutral
1771,Amazing experience!,Positive
1772,Amazing experience!,Positive
1773,I love this!,Positive
1774,Terrible experience.,Negative
1775,Never buying this again.,Negative
1776,Absolutely thrilled with this!,Positive
1777,It's okay.,Neutral
1778,"Well done, great job!",Positive
1779,I hate this.,Negative
1780,Really disappointed.,Negative
1781,Absolutely thrilled with this!,Positive
1782,Average at best.,Neutral
1783,Never buying this again.,Negative
1784,It's just fine.,Neutral
1785,Amazing experience!,Positive
1786,Absolutely thrilled with this!,Positive
1787,I love this!,Positive
1788,Never buying this again.,Negative
1789,Average at best.,Neutral
1790,Never buying this again.,Negative
1791,Terrible experience.,Negative
1792,"Not bad, not great.",Neutral
1793,I love this!,Positive
1794,"Well done, great job!",Positive
1795,It's okay.,Neutral
1796,It's just fine.,Neutral
1797,I hate this.,Negative
1798,"Not bad, not great.",Neutral
1799,It's okay.,Neutral
1800,This is fantastic!,Positive
1801,Never buying this again.,Negative
1802,Really disappointed.,Negative
1803,"Not bad, not great.",Neutral
1804,It's just fine.,Neutral
1805,"Well done, great job!",Positive
1806,It's just fine.,Neutral
1807,Worst thing ever.,Negative
1808,"Not bad, not great.",Neutral
1809,Amazing experience!,Positive
1810,It's okay.,Neutral
1811,It's okay.,Neutral
1812,Really disappointed.,Negative
1813,Amazing experience!,Positive
1814,Worst thing ever.,Negative
1815,This is fantastic!,Positive
1816,Really disappointed.,Negative
1817,This is fantastic!,Positive
1818,"Not bad, not great.",Neutral
1819,This is fantastic!,Positive
1820,"Not bad, not great.",Neutral
1821,Average at best.,Neutral
1822,Nothing special.,Neutral
1823,I hate this.,Negative
1824,"Well done, great job!",Positive
1825,Absolutely thrilled with this!,Positive
1826,Really disappointed.,Negative
1827,"Well done, great job!",Positive
1828,I hate this.,Negative
1829,Average at best.,Neutral
1830,Amazing experience!,Positive
1831,Worst thing ever.,Negative
1832,This is fantastic!,Positive
1833,Absolutely thrilled with this!,Positive
1834,"Not bad, not great.",Neutral
1835,Nothing special.,Neutral
1836,"Not bad, not great.",Neutral
1837,I love this!,Positive
1838,I hate this.,Negative
1839,Nothing special.,Neutral
1840,I love this!,Positive
1841,"Not bad, not great.",Neutral
1842,Absolutely thrilled with this!,Positive
1843,Nothing special.,Neutral
1844,Terrible experience.,Negative
1845,"Well done, great job!",Positive
1846,Never buying this again.,Negative
1847,Nothing special.,Neutral
1848,I love this!,Positive
1849,Amazing experience!,Positive
1850,"Well done, great job!",Positive
1851,Amazing experience!,Positive
1852,Worst thing ever.,Negative
1853,"Well done, great job!",Positive
1854,Average at best.,Neutral
1855,It's just fine.,Neutral
1856,I hate this.,Negative
1857,Worst thing ever.,Negative
1858,Nothing special.,Neutral
1859,I hate this.,Negative
1860,Worst thing ever.,Negative
1861,Absolutely thrilled with this!,Positive
1862,Amazing experience!,Positive
1863,Terrible experience.,Negative
1864,Average at best.,Neutral
1865,Nothing special.,Neutral
1866,"Not bad, not great.",Neutral
1867,Average at best.,Neutral
1868,Average at best.,Neutral
1869,Nothing special.,Neutral
1870,Terrible experience.,Negative
1871,It's okay.,Neutral
1872,It's just fine.,Neutral
1873,It's okay.,Neutral
1874,It's okay.,Neutral
1875,Worst thing ever.,Negative
1876,Nothing special.,Neutral
1877,Nothing special.,Neutral
1878,It's okay.,Neutral
1879,This is fantastic!,Positive
1880,I hate this.,Negative
1881,"Well done, great job!",Positive
1882,"Well done, great job!",Positive
1883,"Well done, great job!",Positive
1884,Never buying this again.,Negative
1885,It's okay.,Neutral
1886,Average at best.,Neutral
1887,I love this!,Positive
1888,I love this!,Positive
1889,I love this!,Positive
1890,It's okay.,Neutral
1891,Really disappointed.,Negative
1892,Terrible experience.,Negative
1893,It's okay.,Neutral
1894,"Not bad, not great.",Neutral
1895,This is fantastic!,Positive
1896,Really disappointed.,Negative
1897,Really disappointed.,Negative
1898,"Well done, great job!",Positive
1899,This is fantastic!,Positive
1900,Average at best.,Neutral
1901,Average at best.,Neutral
1902,I hate this.,Negative
1903,This is fantastic!,Positive
1904,I hate this.,Negative
1905,I hate this.,Negative
